"daily_time_spent_on_site","age","area_income","daily_internet_usage","ad_topic_line","city","male","country","timestamp","clicked_on_ad"
68.95,35,61830,256.1,Cloned 5thgeneration orchestration,Wrightburgh,0,Tunisia,2016-03-27 00:53:11,0
80.23,31,68440,193.8,Monitored national standardization,West Jodi,1,Nauru,2016-04-04 01:39:02,0
69.47,26,59790,236.5,Organic bottom-line service-desk,Davidton,0,San Marino,2016-03-13 20:35:42,0
74.15,29,54810,245.9,Triple-buffered reciprocal time-frame,West Terrifurt,1,Italy,2016-01-10 02:31:19,0
68.37,35,73890,225.6,Robust logistical utilization,South Manuel,0,Iceland,2016-06-03 03:36:18,0
59.99,23,59760,226.7,Sharable client-driven software,Jamieberg,1,Norway,2016-05-19 14:30:17,0
88.91,33,53850,208.4,Enhanced dedicated support,Brandonstad,0,Myanmar,2016-01-28 20:59:32,0
66,48,24590,131.8,Reactive local challenge,Port Jefferybury,1,Australia,2016-03-07 01:40:15,1
74.53,30,68860,221.5,Configurable coherent function,West Colin,1,Grenada,2016-04-18 09:33:42,0
69.88,20,55640,183.8,Mandatory homogeneous architecture,Ramirezton,1,Ghana,2016-07-11 01:42:51,0
47.64,49,45630,122,Centralized neutral neural-net,West Brandonton,0,Qatar,2016-03-16 20:19:01,1
83.07,37,62490,230.9,Team-oriented grid-enabled Local Area Network,East Theresashire,1,Burundi,2016-05-08 08:10:10,0
69.57,48,51640,113.1,Centralized content-based focus group,West Katiefurt,1,Egypt,2016-06-03 01:14:41,1
79.52,24,51740,214.2,Synergistic fresh-thinking array,North Tara,0,Bosnia and Herzegovina,2016-04-20 21:49:22,0
42.95,33,30980,143.6,Grass-roots coherent extranet,West William,0,Barbados,2016-03-24 09:31:49,1
63.45,23,52180,140.6,Persistent demand-driven interface,New Travistown,1,Spain,2016-03-09 03:41:30,1
55.39,37,23940,129.4,Customizable multi-tasking website,West Dylanberg,0,Palestinian Territory,2016-01-30 19:20:41,1
82.03,41,71510,187.5,Intuitive dynamic attitude,Pruittmouth,0,Afghanistan,2016-05-02 07:00:58,0
54.7,36,31090,118.4,Grass-roots solution-oriented conglomeration,Jessicastad,1,British Indian Ocean Territory (Chagos Archipelago),2016-02-13 07:53:55,1
74.58,40,23820,135.5,Advanced 24/7 productivity,Millertown,1,Russian Federation,2016-02-27 04:43:07,1
77.22,30,64800,224.4,Object-based reciprocal knowledgebase,Port Jacqueline,1,Cameroon,2016-01-05 07:52:48,0
84.59,35,60020,226.5,Streamlined non-volatile analyzer,Lake Nicole,1,Cameroon,2016-03-18 13:22:35,0
